timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1636807853433,-0.15429688,-0.9573364,0.12225342,11.03125,-7.28125,1.9375,Respeck,Climbing stairs,12,s1234567,,Respeck_s1234567_Climbing stairs_13-11-2021_12-51-04
1636807853458,-0.11035156,-0.9011841,0.066101074,9.515625,-0.78125,0.53125,Respeck,Climbing stairs,12,s1234567,,Respeck_s1234567_Climbing stairs_13-11-2021_12-51-04
1636807853505,-0.021972656,-0.94195557,0.097595215,7.8125,-9.59375,1.25,Respeck,Climbing stairs,12,s1234567,,Respeck_s1234567_Climbing stairs_13-11-2021_12-51-04
1636807853548,0.0029296875,-0.9492798,0.12445068,9.859375,-13.03125,6.5625,Respeck,Climbing stairs,12,s1234567,,Respeck_s1234567_Climbing stairs_13-11-2021_12-51-04
1636807853579,-0.03125,-0.9783325,0.12249756,0.1875,-9.71875,6.921875,Respeck,Climbing stairs,12,s1234567,,Respeck_s1234567_Climbing stairs_13-11-2021_12-51-04
1636807853628,-0.11328125,-0.9065552,0.09564209,4.828125,-2.140625,6.28125,Respeck,Climbing stairs,12,s1234567,,Respeck_s1234567_Climbing stairs_13-11-2021_12-51-04
1636807853669,-0.0959472659999999,-1.0015259,0.09124756,16.3125,-5.828125,3.453125,Respeck,Climbing stairs,12,s1234567,,Respeck_s1234567_Climbing stairs_13-11-2021_12-51-04
1636807853698,-0.059570312,-1.0147095,0.06121826,3.59375,-4.75,2.359375,Respeck,Climbing stairs,12,s1234567,,Respeck_s1234567_Climbing stairs_13-11-2021_12-51-04
1636807853746,-0.044677734,-1.1038208,0.06829834,6.0,-8.15625,2.265625,Respeck,Climbing stairs,12,s1234567,,Respeck_s1234567_Climbing stairs_13-11-2021_12-51-04
1636807853775,-0.0012207030999999,-1.2053833,0.05218506,10.03125,-22.34375,1.390625,Respeck,Climbing stairs,12,s1234567,,Respeck_s1234567_Climbing stairs_13-11-2021_12-51-04
1636807853819,0.017333984,-1.3262329,-0.1482543999999999,0.40625,-32.171875,-0.625,Respeck,Climbing stairs,12,s1234567,,Respeck_s1234567_Climbing stairs_13-11-2021_12-51-04
